noc,inc_projection
2232,0.50054033
2233,0.642429842
2234,0.296933501
2241,0.693905081
2242,0.447897528
2243,0.1525385
2244,0.450221417
2251,0.687370004
2252,0.759092025
2253,0.636538834
2254,0.238558224
2255,0.429893323
2261,0.11181568
2262,0.052863424
2263,0.14905303
2264,0.362268003
2271,0.288572524
2272,0.594928894
2273,0.373873655
2274,0.232018432
2275,0.111125712
2281,0.581847022
2282,0.482095028
2283,0.509831265
3011,0.535544664
3012,0.692396107
3111,0.542987082
3112,0.487495056
3113,0.752841892
3114,0.594757286
3121,0.704509755
3122,0.437021992
3124,0.534966084
3125,0.623432351
3131,0.612011807
3132,0.622538563
3141,0.451652624
3142,0.601634479
3143,0.610242091
3144,0.673729468
3211,0.368611026
3212,0.680791802
3213,0.410033778
3214,0.770174181
3215,0.414535305
3216,0.570329624
3217,0.563152431
3219,0.797333254
3221,0.752841892
3222,0.505669437
3223,0.652551825
3231,0.501407604
3232,0.673029608
3233,0.558959437
3234,0.583042447
3236,0.38569559
3237,0.727108042
3411,0.594108723
3413,0.472544939
3414,0.431238144
4011,0.261437446
4012,0.542843329
4021,0.262870858
4031,0.451082038
4032,0.430845453
4033,0.444807706
4111,0.123772991
4112,0.170539107
4151,0.378462032
4152,0.370932113
4153,0.365223639
4154,0.583036815
4155,0.134751921
4156,0.444807706
4161,0.394560146
4162,0.216587966
4163,0.274345608
4164,0.380536924
4165,0.580927283
4166,0.430751991
4167,0.681518579
4168,0.211730944
4211,0.084708304
4212,0.319638668
4214,0.660733751
4215,0.340532901
4216,0.310682885
4311,0.394382983
4312,0.366850807
4411,0.491017573
4412,0.501507479
4413,0.411396747
4421,0.185390806
4422,0.195906209
4423,0.148731061
5111,0.32929465
5112,0.446778267
5113,0.321368299
5121,0.335230399
5122,0.247193558
5123,0.248058834
5125,0.416925986
5131,0.681679129
5132,0.453475399
5133,0.392857882
5134,0.421544805
5135,0.31373725
5136,0.703587951
5211,0.240383939
5212,0.321366616
5221,0.670746091
5222,0.782622405
5223,0.780402037
5224,0.493583553
5225,0.704713598
5226,0.811449548
5227,0.412922525
5231,0.237547911
5232,0.222862305
5241,0.851229948
5242,0.837643231
5243,0.890141582
5244,0.506769431
5245,0.779631309
5251,0.420959492
5252,0.506977394
5253,0.389673559
5254,0.575934403
6211,0.512558678
6221,0.592379445
6222,0.401626914
