noc,workshop.number,fewer,more,same,sum,not_increase,y,binned_y
Medical administrative assistants,4,0.2631578947368421,0.42105263157894735,0.3157894736842105,19.0,0.5789473684210527,more,not_increase
Medical administrative assistants,5,0.3333333333333333,0.26666666666666666,0.4,15.0,0.7333333333333333,same,not_increase
Medical administrative assistants,6,0.5217391304347826,0.13043478260869565,0.34782608695652173,23.0,0.8695652173913043,fewer,not_increase
"Oil and gas well drillers, servicers, testers and related workers",1,0.8095238095238095,0.047619047619047616,0.14285714285714285,21.0,0.9523809523809523,fewer,not_increase
"Operators and attendants in amusement, recreation and sport",1,0.38095238095238093,0.47619047619047616,0.14285714285714285,21.0,0.5238095238095238,more,not_increase
"Operators and attendants in amusement, recreation and sport",2,0.30434782608695654,0.5217391304347826,0.17391304347826086,23.0,0.4782608695652174,more,more
"Operators and attendants in amusement, recreation and sport",3,0.3,0.6,0.1,20.0,0.4,more,more
"Operators and attendants in amusement, recreation and sport",4,0.05263157894736842,0.8947368421052632,0.05263157894736842,19.0,0.10526315789473684,more,more
"Operators and attendants in amusement, recreation and sport",5,0.06666666666666667,0.7333333333333333,0.2,15.0,0.26666666666666666,more,more
"Operators and attendants in amusement, recreation and sport",6,0.4782608695652174,0.2608695652173913,0.2608695652173913,23.0,0.7391304347826086,fewer,not_increase
Painters and decorators (except interior decorators),4,0.05263157894736842,0.631578947368421,0.3157894736842105,19.0,0.3684210526315789,more,more
Paramedical occupations,6,0.041666666666666664,0.875,0.08333333333333333,24.0,0.125,more,more
Plastics processing machine operators,1,0.9047619047619048,0.0,0.09523809523809523,21.0,1.0,fewer,not_increase
Plastics processing machine operators,2,0.6086956521739131,0.13043478260869565,0.2608695652173913,23.0,0.8695652173913043,fewer,not_increase
Plastics processing machine operators,3,0.55,0.25,0.2,20.0,0.75,fewer,not_increase
Plastics processing machine operators,4,0.9473684210526315,0.0,0.05263157894736842,19.0,1.0,fewer,not_increase
Plastics processing machine operators,5,0.6666666666666666,0.13333333333333333,0.2,15.0,0.8666666666666667,fewer,not_increase
Plastics processing machine operators,6,0.9130434782608695,0.0,0.08695652173913043,23.0,1.0,fewer,not_increase
Real estate agents and salespersons,2,0.34782608695652173,0.391304347826087,0.2608695652173913,23.0,0.6086956521739131,more,not_increase
Registered nurses and registered psychiatric nurses,6,0.0,0.8695652173913043,0.13043478260869565,23.0,0.13043478260869565,more,more
Restaurant and food service managers,2,0.13043478260869565,0.5652173913043478,0.30434782608695654,23.0,0.43478260869565216,more,more
"Senior managers - financial, communications and other business services",1,0.2857142857142857,0.42857142857142855,0.2857142857142857,21.0,0.5714285714285714,more,not_increase
"Senior managers - financial, communications and other business services",2,0.17391304347826086,0.391304347826087,0.43478260869565216,23.0,0.6086956521739131,same,not_increase
"Senior managers - financial, communications and other business services",3,0.1,0.5,0.4,20.0,0.5,more,more
"Senior managers - financial, communications and other business services",4,0.15789473684210525,0.42105263157894735,0.42105263157894735,19.0,0.5789473684210527,more,not_increase
"Senior managers - financial, communications and other business services",5,0.26666666666666666,0.4666666666666667,0.26666666666666666,15.0,0.5333333333333333,more,not_increase
"Senior managers - financial, communications and other business services",6,0.17391304347826086,0.391304347826087,0.43478260869565216,23.0,0.6086956521739131,same,not_increase
Shippers and receivers,5,0.6666666666666666,0.26666666666666666,0.06666666666666667,15.0,0.7333333333333333,fewer,not_increase
"Steamfitters, pipefitters and sprinkler system installers",6,0.13043478260869565,0.391304347826087,0.4782608695652174,23.0,0.6086956521739131,same,not_increase
"Store shelf stockers, clerks and order fillers",5,0.6,0.13333333333333333,0.26666666666666666,15.0,0.8666666666666667,fewer,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",1,0.2857142857142857,0.23809523809523808,0.47619047619047616,21.0,0.7619047619047619,same,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",2,0.2608695652173913,0.34782608695652173,0.391304347826087,23.0,0.6521739130434783,same,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",3,0.05,0.65,0.3,20.0,0.35,more,more
"Supervisors, petroleum, gas and chemical processing and utilities",4,0.21052631578947367,0.47368421052631576,0.3157894736842105,19.0,0.5263157894736842,more,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",5,0.4666666666666667,0.13333333333333333,0.4,15.0,0.8666666666666667,fewer,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",6,0.08695652173913043,0.6086956521739131,0.30434782608695654,23.0,0.391304347826087,more,more
Technical sales specialists - wholesale trade,2,0.08695652173913043,0.782608695652174,0.13043478260869565,23.0,0.21739130434782608,more,more
Underground production and development miners,1,0.7619047619047619,0.047619047619047616,0.19047619047619047,21.0,0.9523809523809523,fewer,not_increase
Underground production and development miners,2,0.5652173913043478,0.2608695652173913,0.17391304347826086,23.0,0.7391304347826086,fewer,not_increase
Underground production and development miners,3,0.4,0.25,0.35,20.0,0.75,fewer,not_increase
Underground production and development miners,4,0.5263157894736842,0.3157894736842105,0.15789473684210525,19.0,0.6842105263157895,fewer,not_increase
Underground production and development miners,5,0.4,0.3333333333333333,0.26666666666666666,15.0,0.6666666666666666,fewer,not_increase
Underground production and development miners,6,0.391304347826087,0.391304347826087,0.21739130434782608,23.0,0.6086956521739131,fewer,not_increase
