noc,workshop.number,constant,decrease,increase,sum,not_increase,y,binned_y
"Oil and gas well drillers, servicers, testers and related workers",1,0.19047619047619047,0.7619047619047619,0.047619047619047616,21.0,0.9523809523809523,decrease,not_increase
"Operators and attendants in amusement, recreation and sport",1,0.3333333333333333,0.2857142857142857,0.38095238095238093,21.0,0.6190476190476191,increase,not_increase
"Operators and attendants in amusement, recreation and sport",2,0.17391304347826086,0.30434782608695654,0.5217391304347826,23.0,0.4782608695652174,increase,increase
"Operators and attendants in amusement, recreation and sport",3,0.2,0.25,0.55,20.0,0.45,increase,increase
"Operators and attendants in amusement, recreation and sport",4,0.15789473684210525,0.10526315789473684,0.7368421052631579,19.0,0.2631578947368421,increase,increase
"Operators and attendants in amusement, recreation and sport",5,0.6,0.06666666666666667,0.3333333333333333,15.0,0.6666666666666666,constant,not_increase
"Operators and attendants in amusement, recreation and sport",6,0.30434782608695654,0.5217391304347826,0.17391304347826086,23.0,0.8260869565217391,decrease,not_increase
Painters and decorators (except interior decorators),4,0.7368421052631579,0.10526315789473684,0.15789473684210525,19.0,0.8421052631578947,constant,not_increase
Paramedical occupations,6,0.25,0.08333333333333333,0.6666666666666666,24.0,0.3333333333333333,increase,increase
Plastics processing machine operators,1,0.0,1.0,0.0,21.0,1.0,decrease,not_increase
Plastics processing machine operators,2,0.2608695652173913,0.6956521739130435,0.043478260869565216,23.0,0.9565217391304348,decrease,not_increase
Plastics processing machine operators,3,0.35,0.45,0.2,20.0,0.8,decrease,not_increase
Plastics processing machine operators,4,0.05263157894736842,0.8947368421052632,0.05263157894736842,19.0,0.9473684210526315,decrease,not_increase
Plastics processing machine operators,5,0.06666666666666667,0.8,0.13333333333333333,15.0,0.8666666666666667,decrease,not_increase
Plastics processing machine operators,6,0.043478260869565216,0.9565217391304348,0.0,23.0,1.0,decrease,not_increase
Real estate agents and salespersons,2,0.391304347826087,0.34782608695652173,0.2608695652173913,23.0,0.7391304347826086,constant,not_increase
Registered nurses and registered psychiatric nurses,6,0.17391304347826086,0.0,0.8260869565217391,23.0,0.17391304347826086,increase,increase
