,pos_influence,neg_influence,pct_pos,occurance count
value.Physics,0.26245398036334905,-0.16817746103084488,0.27960526315789475,304.0
value.Chemistry,0.20387322531409016,-0.18811683390593548,0.7195431472081218,788.0
value.Biology,0.1557434267983417,-0.22274438148324174,0.701010101010101,495.0
value.Psychology,0.23737537006033782,-0.2133836223523448,0.7356746765249538,541.0
value.Sociology and Anthropology,0.12022133664978997,-0.17843467794154005,0.7979966611018364,599.0
value.Geography,0.32072919794460036,-0.143082452161226,0.36675461741424803,379.0
value.Medicine and Dentistry,0.2758451442519264,-0.18774406234101354,0.8135338345864662,665.0
value.Therapy and Counseling,0.0990888476502396,-0.1848153034590363,0.5214105793450882,397.0
value.Education and Training,0.2338434983126663,-0.22563793744066069,0.8163558106169297,697.0
value.English Language,0.2236083507582832,-0.15034114778694668,0.782258064516129,248.0
value.Foreign Language,0.2763834419040529,-0.12900753440878426,0.6646216768916156,489.0
value.Fine Arts,0.11281932002094534,-0.1864438054636797,0.9267139479905437,423.0
value.History and Archeology,0.19990883333079004,-0.1704216226728778,0.7961165048543689,206.0
value.Philosophy and Theology,0.21749258409746522,-0.1837240926378574,0.8738404452690167,539.0
value.Public Safety and Security,0.29316295403798676,-0.07900559991457314,0.30401529636711283,523.0
value.Law and Government,0.2183932287557353,-0.18998941214290946,0.17177914110429449,1141.0
value.Telecommunications,0.16186526705255605,-0.20159355047752875,0.46634615384615385,208.0
value.Communications and Media,0.13648504897534514,-0.3194785961473492,0.2767527675276753,813.0
value.Transportation,0.3157204417933116,-0.16475274903800485,0.15328467153284672,1370.0
